trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
24,Low Noise (2% Depol),1200,600,0.5,120,0.0,0.006666666666666667,0,4,4,46,480,360,0.3,0.75,True,True,True,294,0.006802721088435374,306,0.006535947712418301,0.0,0.031019166418703486
25,Low Noise (2% Depol),1200,620,0.5166666666666667,124,0.016129032258064516,0.004838709677419355,2,3,1,35,496,360,0.3,0.7258064516129032,True,True,True,310,0.00967741935483871,310,0.0,0.004434364460542482,0.056903005223984324
26,Low Noise (2% Depol),1200,595,0.49583333333333335,119,0.0,0.013445378151260505,0,8,8,62,476,357,0.2975,0.75,True,True,True,297,0.013468013468013467,298,0.013422818791946308,0.0,0.031271680241939506
27,Low Noise (2% Depol),1200,613,0.5108333333333334,123,0.008130081300813009,0.013050570962479609,1,8,7,90,490,367,0.30583333333333335,0.7489795918367347,True,True,True,306,0.00980392156862745,307,0.016286644951140065,0.001436603549876729,0.04461662600933025
28,Low Noise (2% Depol),1200,594,0.495,119,0.008403361344537815,0.008417508417508417,1,5,4,76,475,356,0.2966666666666667,0.7494736842105263,True,True,True,301,0.006644518272425249,293,0.010238907849829351,0.0014849430400896285,0.04606788543307778
29,Low Noise (2% Depol),1200,580,0.48333333333333334,116,0.008620689655172414,0.010344827586206896,1,6,5,78,464,348,0.29,0.75,True,True,True,291,0.006872852233676976,289,0.01384083044982699,0.0015233877766386086,0.04721983412817875
0,Moderate Noise (4% Depol),1200,614,0.5116666666666667,123,0.024390243902439025,0.024429967426710098,3,15,12,110,491,273,0.2275,0.5560081466395111,True,True,True,308,0.025974025974025976,306,0.02287581699346405,0.008329064364133588,0.06925959562286821
1,Moderate Noise (4% Depol),1200,597,0.4975,119,0.01680672268907563,0.011725293132328308,2,7,5,80,478,320,0.26666666666666666,0.6694560669456067,True,True,True,296,0.006756756756756757,301,0.016611295681063124,0.004621175448157974,0.059212801256237346
2,Moderate Noise (4% Depol),1200,572,0.4766666666666667,114,0.06140350877192982,0.026223776223776224,7,15,8,90,458,107,0.08916666666666667,0.2336244541484716,True,True,True,286,0.03146853146853147,286,0.02097902097902098,0.030059281919865344,0.12134294102648693
3,Moderate Noise (4% Depol),1200,604,0.5033333333333333,121,0.01652892561983471,0.016556291390728478,2,10,8,63,483,334,0.2783333333333333,0.6915113871635611,True,True,True,295,0.023728813559322035,309,0.009708737864077669,0.004544593546124867,0.05826674248573428
4,Moderate Noise (4% Depol),1200,616,0.5133333333333333,123,0.016260162601626018,0.00974025974025974,2,6,4,47,493,351,0.2925,0.7119675456389453,True,True,True,301,0.006644518272425249,315,0.012698412698412698,0.004470508507497795,0.0573504362656066
5,Moderate Noise (4% Depol),1200,601,0.5008333333333334,120,0.016666666666666666,0.02329450915141431,2,14,12,79,481,323,0.26916666666666667,0.6715176715176715,True,True,True,291,0.020618556701030927,310,0.025806451612903226,0.004582564565921141,0.0587359629721589
6,Moderate Noise (4% Depol),1200,619,0.5158333333333334,124,0.03225806451612903,0.024232633279483037,4,15,11,106,495,238,0.19833333333333333,0.4808080808080808,True,True,True,318,0.025157232704402517,301,0.023255813953488372,0.012614619069790334,0.08001150495858558
7,Moderate Noise (4% Depol),1200,617,0.5141666666666667,123,0.032520325203252036,0.03241491085899514,4,20,16,126,494,226,0.18833333333333332,0.4574898785425101,True,True,True,306,0.032679738562091505,311,0.03215434083601286,0.012717758499415699,0.08063861670148349
