trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
4,Eve_0.00_Noise_0.10,1000,487,0.487,97,0.030927835051546393,0.039014373716632446,3,19,16,138,390,165,0.165,0.4230769230769231,True,True,True,243,0.02880658436213992,244,0.04918032786885246,0.01057334494855243,0.08702003515310984
0,Eve_0.00_Noise_0.15,1000,508,0.508,102,0.13725490196078433,0.09055118110236221,14,46,0,0,0,0,0.0,0.0,False,False,False,263,0.07984790874524715,245,0.10204081632653061,0.08355366620734478,0.21728741417342262
1,Eve_0.00_Noise_0.15,1000,498,0.498,100,0.08,0.0783132530120482,8,39,31,199,398,1,0.001,0.002512562814070352,True,True,True,232,0.09051724137931035,266,0.06766917293233082,0.041093461484380624,0.14998107700948735
2,Eve_0.00_Noise_0.15,1000,498,0.498,100,0.04,0.060240963855421686,4,30,26,204,398,103,0.103,0.25879396984924624,True,True,True,263,0.053231939163498096,235,0.06808510638297872,0.01566330399154762,0.0983707143588792
3,Eve_0.00_Noise_0.15,1000,494,0.494,99,0.08080808080808081,0.06882591093117409,8,34,26,179,395,1,0.001,0.002531645569620253,True,True,True,266,0.05639097744360902,228,0.08333333333333333,0.041514402502911794,0.15141808842264048
4,Eve_0.00_Noise_0.15,1000,509,0.509,102,0.06862745098039216,0.07269155206286837,7,37,30,196,407,15,0.015,0.036855036855036855,True,True,True,245,0.08571428571428572,264,0.06060606060606061,0.03363822087686714,0.13492955038674817
0,Eve_0.00_Noise_0.20,1000,507,0.507,101,0.06930693069306931,0.08678500986193294,7,44,35,244,406,0,0.0,0.0,False,False,False,241,0.08298755186721991,266,0.09022556390977443,0.0339753277703107,0.13620027853451583
1,Eve_0.00_Noise_0.20,1000,514,0.514,103,0.07766990291262135,0.11089494163424124,8,57,43,276,411,0,0.0,0.0,False,False,False,253,0.09486166007905138,261,0.12643678160919541,0.039880356912350534,0.14582900197980858
2,Eve_0.00_Noise_0.20,1000,459,0.459,92,0.08695652173913043,0.08714596949891068,8,40,30,212,367,0,0.0,0.0,False,False,False,224,0.08035714285714286,235,0.09361702127659574,0.044721188963793644,0.16230256740258947
3,Eve_0.00_Noise_0.20,1000,526,0.526,105,0.0761904761904762,0.09315589353612168,8,49,41,270,421,1,0.001,0.0023752969121140144,True,True,True,259,0.09266409266409266,267,0.09363295880149813,0.03911065243076895,0.14318623182342896
4,Eve_0.00_Noise_0.20,1000,519,0.519,104,0.11538461538461539,0.08670520231213873,12,45,0,0,0,0,0.0,0.0,False,False,False,278,0.08992805755395683,241,0.08298755186721991,0.06724977629813572,0.19092049629605806
0,Eve_0.25_Noise_0.00,1000,469,0.469,94,0.0425531914893617,0.057569296375266525,4,27,23,186,375,91,0.091,0.24266666666666667,True,True,True,243,0.06584362139917696,226,0.048672566371681415,0.016670548150042715,0.10435645781881736
