condition_name,total_signals,num_trials,master_seed,eve_enabled,eve_probability,noise_model,noise_probability,acceptance_rate,key_agreement_rate,mean_sifting_ratio,qber_mean,qber_std,qber_median,qber_min,qber_max,actual_qber_mean,actual_qber_std,final_key_length_mean,final_key_length_std,final_key_rate_mean,final_key_rate_std,leakage_mean,mean_z_basis_qber,mean_x_basis_qber,pooled_ci_lower,pooled_ci_upper
phase_flip_p_0.02,1000,6,3639,False,1.0,phase_flip,0.02,1.0,1.0,0.4928333333333334,0.01162902071603966,0.009648738458676915,0.015085081950099175,0.0,0.019801980198019802,0.013809204314298206,0.0031334077051095007,273.0,15.427248620541512,0.27299999999999996,0.015427248620541508,64.66666666666667,0.0,0.027747083288082158,0.005748989127333057,0.0242446479269264
phase_flip_p_0.04,1000,6,3692,False,1.0,phase_flip,0.04,1.0,1.0,0.49533333333333335,0.023363027450046394,0.016239658351156105,0.02470873786407767,0.0,0.04040404040404041,0.01980225191439779,0.006244172929720364,226.16666666666666,47.29658197657276,0.2261666666666667,0.04729658197657275,80.33333333333333,0.0,0.03879602577367621,0.014066800195725539,0.03910496730914947
phase_flip_p_0.06,1000,6,3745,False,1.0,phase_flip,0.06,1.0,1.0,0.49266666666666664,0.036940188237020506,0.01783868495925863,0.03537492253666598,0.02040816326530612,0.06862745098039216,0.031356603647820065,0.011815198669025433,170.5,63.874094905524885,0.17049999999999998,0.0638740949055249,93.5,0.0,0.06108579525664576,0.02470941554851685,0.055717827898068804
phase_flip_p_0.08,1000,6,3798,False,1.0,phase_flip,0.08,1.0,1.0,0.5033333333333334,0.03965793134385622,0.020388516961252764,0.035770071852546076,0.018691588785046728,0.0673076923076923,0.04208186883384921,0.005568273123321623,149.66666666666666,72.02407005068977,0.14966666666666664,0.07202407005068977,128.0,0.0,0.08435649291723303,0.026800484644373943,0.05834723003509175
phase_flip_p_0.10,1000,6,3851,False,1.0,phase_flip,0.1,1.0,1.0,0.5041666666666667,0.05037233269734626,0.02749298286485074,0.04929098679098679,0.009615384615384616,0.09278350515463918,0.05079715516794853,0.00888535413417273,109.0,86.5424751206019,0.109,0.08654247512060191,154.16666666666666,0.0,0.10036204305606522,0.035010380105712356,0.07001940668204043
phase_flip_p_0.12,1000,6,3904,False,1.0,phase_flip,0.12,0.8333333333333334,1.0,0.5008333333333334,0.07325987062992013,0.018837819742103742,0.07425742574257425,0.052083333333333336,0.09090909090909091,0.06712883576541406,0.011137775321542169,13.333333333333334,23.77113095051783,0.013333333333333334,0.023771130950517826,197.5,0.0,0.12955854363672845,0.05498668934141192,0.09685716574048754
phase_flip_p_0.14,1000,6,3957,False,1.0,phase_flip,0.14,0.6666666666666666,1.0,0.4905,0.08480889938180301,0.033040286738400364,0.09447415329768272,0.031914893617021274,0.11458333333333333,0.06689334947194407,0.0025926139582510893,27.5,51.50048543460537,0.0275,0.05150048543460537,130.16666666666666,0.0,0.13708847832233736,0.06498291825458141,0.110175983464708
phase_flip_p_0.16,1000,6,4010,False,1.0,phase_flip,0.16,0.6666666666666666,1.0,0.5028333333333334,0.07296511343811451,0.017238513866102777,0.07460396039603961,0.04950495049504951,0.09803921568627451,0.08586731295063423,0.007494093456890289,2.0,3.4641016151377544,0.002,0.0034641016151377543,236.16666666666666,0.0,0.17316929418713492,0.05480279628777905,0.09654061884271366
phase_flip_p_0.18,1000,6,4063,False,1.0,phase_flip,0.18,0.5,1.0,0.49183333333333334,0.0886627302436126,0.02995432576193831,0.08942364824717766,0.052083333333333336,0.12222222222222222,0.08124491123847945,0.0209493878123495,15.666666666666666,37.398752207348664,0.015666666666666666,0.037398752207348666,128.83333333333334,0.0,0.1699433914629674,0.0679600430500562,0.11394602511733717
phase_flip_p_0.20,1000,6,4116,False,1.0,phase_flip,0.2,0.16666666666666666,1.0,0.5063333333333333,0.09111911421615156,0.03363146143280431,0.0768377253814147,0.06060606060606061,0.1414141414141414,0.10015883773205608,0.009309710406285919,0.16666666666666666,0.408248290463863,0.00016666666666666666,0.00040824829046386303,178.0,0.0,0.20030523808835107,0.07027513420464152,0.11609312416550793
